Simulation status;Solvent;Solvent temperature (K);Solvent pressure (bar);Reflux ratio col 1 (mole basis);Reflux ratio col 2 (mole basis);Solvent flowrate (kmol/hr);Mixture pressure (bar);Mixture temperature (K);Distillate rate col 1 (kmol/hr);Distillate rate col 2 (kmol/hr);Methanol purity (mole basis);Condensor 01 duty (kJ/hr);Condensor 02 duty (kJ/hr)
Warnings;DMSO;303.15;1;0.25;0.25;720;1;323.15;400;200;0.700331521;-15768801.1;-11271304
Warnings;DMSO;303.15;1;0.25;0.25;720;1;323.15;400;400;0.350165624;-15768763.1;-25128958.8
Warnings;DMSO;303.15;1;0.25;0.25;720;2;303.15;200;200;0.652487449;-7459523.56;-8353465.38
Warnings;DMSO;303.15;1;0.25;0.25;720;2;303.15;200;400;0.674691869;-7459512.07;-20700316.9
Warnings;DMSO;303.15;1;0.25;0.25;720;2;303.15;400;200;0.700333265;-15768826.5;-11271301.5
Warnings;DMSO;303.15;1;0.25;0.25;720;2;303.15;400;400;0.350166459;-15768781.4;-25128952.3
Warnings;DMSO;303.15;1;0.25;0.25;720;2;313.15;200;200;0.652367236;-7459680.41;-8353281.29
Warnings;DMSO;303.15;1;0.25;0.25;720;2;313.15;200;400;0.674629173;-7459674.73;-20700248.7
Warnings;DMSO;303.15;1;0.25;0.25;720;2;313.15;400;200;0.700332312;-15768799.5;-11271303.4
Warnings;DMSO;303.15;1;0.25;0.25;720;2;313.15;400;400;0.350166056;-15768769.7;-25128955.4
Warnings;DMSO;303.15;1;0.25;0.25;720;2;323.15;200;200;0.652169434;-7459947.55;-8352978.38
Warnings;DMSO;303.15;1;0.25;0.25;720;2;323.15;200;400;0.674526756;-7459935.83;-20700138.3
Warnings;DMSO;303.15;1;0.25;0.25;720;2;323.15;400;200;0.700331542;-15768804;-11271303.9
Warnings;DMSO;303.15;1;0.25;0.25;720;2;323.15;400;400;0.350165632;-15768765.1;-25128958.8
Warnings;DMSO;303.15;1;0.25;0.25;720;3;303.15;200;200;0.652486836;-7459522.93;-8353464.44
Warnings;DMSO;303.15;1;0.25;0.25;720;3;303.15;200;400;0.674691683;-7459515.8;-20700316.8
Warnings;DMSO;303.15;1;0.25;0.25;720;3;303.15;400;200;0.700333288;-15768829;-11271301.4
Warnings;DMSO;303.15;1;0.25;0.25;720;3;303.15;400;400;0.350166546;-15768800.5;-25128951.9
Warnings;DMSO;303.15;1;0.25;0.25;720;3;313.15;200;200;0.652367247;-7459680.32;-8353281.31
Warnings;DMSO;303.15;1;0.25;0.25;720;3;313.15;200;400;0.674628312;-7459677.56;-20700248.4
Warnings;DMSO;303.15;1;0.25;0.25;720;3;313.15;400;200;0.700332418;-15768811.6;-11271302.8
Warnings;DMSO;303.15;1;0.25;0.25;720;3;313.15;400;400;0.350166093;-15768777.9;-25128955.2
Warnings;DMSO;303.15;1;0.25;0.25;720;3;323.15;200;200;0.652169457;-7459947.64;-8352978.42
Warnings;DMSO;303.15;1;0.25;0.25;720;3;323.15;200;400;0.674529015;-7459938.99;-20700139.8
Warnings;DMSO;303.15;1;0.25;0.25;720;3;323.15;400;200;0.700331526;-15768801.8;-11271304
Warnings;DMSO;303.15;1;0.25;0.25;720;3;323.15;400;400;0.350165645;-15768767.8;-25128958.7
Warnings;DMSO;303.15;1;0.25;0.25;830;1;303.15;200;200;0.65429597;-7458993.41;-8356244.92
Warnings;DMSO;303.15;1;0.25;0.25;830;1;303.15;200;400;0.674967558;-7458980.17;-20700593.6
Warnings;DMSO;303.15;1;0.25;0.25;830;1;303.15;400;200;0.70035876;-15771259.2;-11271186.7
Warnings;DMSO;303.15;1;0.25;0.25;830;1;303.15;400;400;0.350179345;-15771222.8;-25128893.1
Warnings;DMSO;303.15;1;0.25;0.25;830;1;313.15;200;200;0.654292809;-7459000.45;-8356239.71
Warnings;DMSO;303.15;1;0.25;0.25;830;1;313.15;200;400;0.674965857;-7458990.43;-20700591.2
Warnings;DMSO;303.15;1;0.25;0.25;830;1;313.15;400;200;0.700358214;-15771255.4;-11271187.2
Warnings;DMSO;303.15;1;0.25;0.25;830;1;313.15;400;400;0.350179093;-15771224.3;-25128895.2
Warnings;DMSO;303.15;1;0.25;0.25;830;1;323.15;200;200;0.654289009;-7458999.81;-8356233.89
Warnings;DMSO;303.15;1;0.25;0.25;830;1;323.15;200;400;0.674963803;-7458997.51;-20700588.7
Warnings;DMSO;303.15;1;0.25;0.25;830;1;323.15;400;200;0.700357653;-15771259.1;-11271187.6
Warnings;DMSO;303.15;1;0.25;0.25;830;1;323.15;400;400;0.350178768;-15771217.8;-25128897.7
Warnings;DMSO;303.15;1;0.25;0.25;830;2;303.15;200;200;0.654296235;-7458994.49;-8356244.95
Warnings;DMSO;303.15;1;0.25;0.25;830;2;303.15;200;400;0.674967517;-7458999.22;-20700591.5
Warnings;DMSO;303.15;1;0.25;0.25;830;2;303.15;400;200;0.700358757;-15771258.9;-11271186.7
Warnings;DMSO;303.15;1;0.25;0.25;830;2;303.15;400;400;0.350179344;-15771222.8;-25128893.1
Warnings;DMSO;303.15;1;0.25;0.25;830;2;313.15;200;200;0.654292809;-7459000.45;-8356239.71
Warnings;DMSO;303.15;1;0.25;0.25;830;2;313.15;200;400;0.674965857;-7458990.43;-20700591.2
Warnings;DMSO;303.15;1;0.25;0.25;830;2;313.15;400;200;0.700358214;-15771255.4;-11271187.2
Warnings;DMSO;303.15;1;0.25;0.25;830;2;313.15;400;400;0.350179093;-15771224.3;-25128895.2
Warnings;DMSO;303.15;1;0.25;0.25;830;2;323.15;200;200;0.654289009;-7458999.81;-8356233.89
Warnings;DMSO;303.15;1;0.25;0.25;830;2;323.15;200;400;0.674963803;-7458997.51;-20700588.7
Warnings;DMSO;303.15;1;0.25;0.25;830;2;323.15;400;200;0.700357653;-15771259.1;-11271187.6
Warnings;DMSO;303.15;1;0.25;0.25;830;2;323.15;400;400;0.350178768;-15771217.8;-25128897.7
Warnings;DMSO;303.15;1;0.25;0.25;830;3;303.15;200;200;0.654296235;-7458994.49;-8356244.95
Warnings;DMSO;303.15;1;0.25;0.25;830;3;303.15;200;400;0.674967517;-7458999.22;-20700591.5
Warnings;DMSO;303.15;1;0.25;0.25;830;3;303.15;400;200;0.700358757;-15771258.9;-11271186.7
Warnings;DMSO;303.15;1;0.25;0.25;830;3;303.15;400;400;0.350179344;-15771222.8;-25128893.1
Warnings;DMSO;303.15;1;0.25;0.25;830;3;313.15;200;200;0.654292809;-7459000.45;-8356239.71
