"T DMSO","P DMSO","T MIX","P MIX","RR1","RR2","PURITY","SIMRES"
"310","1","315","1.5","1.25","1.25","0.995763477","Warnings"
"310","1","315","2","0.5","0.5","0.952976177","Warnings"
"310","1","315","2","0.5","0.75","0.952919762","Warnings"
"310","1","315","2","0.5","1","0.952924613","Warnings"
"310","1","315","2","0.5","1.25","0.952920285","Warnings"
"310","1","315","2","0.75","0.5","0.986591903","Warnings"
"310","1","315","2","0.75","0.75","0.986567574","Warnings"
"310","1","315","2","0.75","1","0.986568599","Warnings"
"310","1","315","2","0.75","1.25","0.986568542","Warnings"
"310","1","315","2","1","0.5","0.995062972","Warnings"
"310","1","315","2","1","0.75","0.995061747","Warnings"
"310","1","315","2","1","1","0.995061817","Warnings"
"310","1","315","2","1","1.25","0.995061895","Warnings"
"310","1","315","2","1.25","0.5","0.99576442","Warnings"
"310","1","315","2","1.25","0.75","0.995763315","Warnings"
"310","1","315","2","1.25","1","0.995763421","Warnings"
"310","1","315","2","1.25","1.25","0.995763477","Warnings"
"310","1","315","2.5","0.5","0.5","0.952976177","Warnings"
"310","1","315","2.5","0.5","0.75","0.952919762","Warnings"
"310","1","315","2.5","0.5","1","0.952924613","Warnings"
"310","1","315","2.5","0.5","1.25","0.952920285","Warnings"
"310","1","315","2.5","0.75","0.5","0.986591903","Warnings"
"310","1","315","2.5","0.75","0.75","0.986567574","Warnings"
"310","1","315","2.5","0.75","1","0.986568599","Warnings"
"310","1","315","2.5","0.75","1.25","0.986568542","Warnings"
"310","1","315","2.5","1","0.5","0.995062972","Warnings"
"310","1","315","2.5","1","0.75","0.995061747","Warnings"
"310","1","315","2.5","1","1","0.995061817","Warnings"
"310","1","315","2.5","1","1.25","0.995061895","Warnings"
"310","1","315","2.5","1.25","0.5","0.99576442","Warnings"
"310","1","315","2.5","1.25","0.75","0.995763315","Warnings"
"310","1","315","2.5","1.25","1","0.995763421","Warnings"
"310","1","315","2.5","1.25","1.25","0.995763477","Warnings"
"310","1","320","1","0.5","0.5","0.951589419","Warnings"
"310","1","320","1","0.5","0.75","0.951562349","Warnings"
"310","1","320","1","0.5","1","0.951558337","Warnings"
"310","1","320","1","0.5","1.25","0.951557257","Warnings"
"310","1","320","1","0.75","0.5","0.985659934","Warnings"
"310","1","320","1","0.75","0.75","0.985640663","Warnings"
"310","1","320","1","0.75","1","0.985638805","Warnings"
"310","1","320","1","0.75","1.25","0.98564238","Warnings"
"310","1","320","1","1","0.5","0.99499702","Warnings"
"310","1","320","1","1","0.75","0.994995896","Warnings"
"310","1","320","1","1","1","0.994995781","Warnings"
"310","1","320","1","1","1.25","0.994995774","Warnings"
"310","1","320","1","1.25","0.5","0.995748492","Warnings"
"310","1","320","1","1.25","0.75","0.995747349","Warnings"
"310","1","320","1","1.25","1","0.995747452","Warnings"
"310","1","320","1","1.25","1.25","0.995747446","Warnings"
"310","1","320","1.5","0.5","0.5","0.951583017","Warnings"
"310","1","320","1.5","0.5","0.75","0.951559991","Warnings"
"310","1","320","1.5","0.5","1","0.95155747","Warnings"
"310","1","320","1.5","0.5","1.25","0.951557363","Warnings"
"310","1","320","1.5","0.75","0.5","0.985659913","Warnings"
"310","1","320","1.5","0.75","0.75","0.985640633","Warnings"
"310","1","320","1.5","0.75","1","0.985638812","Warnings"
"310","1","320","1.5","0.75","1.25","0.985642385","Warnings"
"310","1","320","1.5","1","0.5","0.99499702","Warnings"
"310","1","320","1.5","1","0.75","0.994995896","Warnings"
"310","1","320","1.5","1","1","0.994995781","Warnings"
"310","1","320","1.5","1","1.25","0.994995774","Warnings"
"310","1","320","1.5","1.25","0.5","0.995748492","Warnings"
"310","1","320","1.5","1.25","0.75","0.995747349","Warnings"
"310","1","320","1.5","1.25","1","0.995747452","Warnings"
"310","1","320","1.5","1.25","1.25","0.995747446","Warnings"
"310","1","320","2","0.5","0.5","0.951583018","Warnings"
"310","1","320","2","0.5","0.75","0.951559991","Warnings"
"310","1","320","2","0.5","1","0.95155747","Warnings"
"310","1","320","2","0.5","1.25","0.951557363","Warnings"
"310","1","320","2","0.75","0.5","0.985659913","Warnings"
"310","1","320","2","0.75","0.75","0.985640633","Warnings"
"310","1","320","2","0.75","1","0.985638812","Warnings"
"310","1","320","2","0.75","1.25","0.985642385","Warnings"
"310","1","320","2","1","0.5","0.99499702","Warnings"
"310","1","320","2","1","0.75","0.994995896","Warnings"
"310","1","320","2","1","1","0.994995781","Warnings"
"310","1","320","2","1","1.25","0.994995774","Warnings"
"310","1","320","2","1.25","0.5","0.995748492","Warnings"
"310","1","320","2","1.25","0.75","0.995747349","Warnings"
"310","1","320","2","1.25","1","0.995747452","Warnings"
"310","1","320","2","1.25","1.25","0.995747446","Warnings"
"310","1","320","2.5","0.5","0.5","0.951583017","Warnings"
"310","1","320","2.5","0.5","0.75","0.951559991","Warnings"
"310","1","320","2.5","0.5","1","0.95155747","Warnings"
"310","1","320","2.5","0.5","1.25","0.951557363","Warnings"
"310","1","320","2.5","0.75","0.5","0.985659913","Warnings"
"310","1","320","2.5","0.75","0.75","0.985640633","Warnings"
"310","1","320","2.5","0.75","1","0.985638812","Warnings"
"310","1","320","2.5","0.75","1.25","0.985642385","Warnings"
"310","1","320","2.5","1","0.5","0.99499702","Warnings"
"310","1","320","2.5","1","0.75","0.994995896","Warnings"
"310","1","320","2.5","1","1","0.994995781","Warnings"
"310","1","320","2.5","1","1.25","0.994995774","Warnings"
"310","1","320","2.5","1.25","0.5","0.995748492","Warnings"
"310","1","320","2.5","1.25","0.75","0.995747349","Warnings"
"310","1","320","2.5","1.25","1","0.995747452","Warnings"
"310","1","320","2.5","1.25","1.25","0.995747446","Warnings"
"310","1","325","1","0.5","0.5","0.950119483","Warnings"
"310","1","325","1","0.5","0.75","0.950132712","Warnings"
"310","1","325","1","0.5","1","0.950131225","Warnings"
"310","1","325","1","0.5","1.25","0.950129631","Warnings"
"310","1","325","1","0.75","0.5","0.984649085","Warnings"
"310","1","325","1","0.75","0.75","0.984627516","Warnings"
"310","1","325","1","0.75","1","0.9846249","Warnings"
"310","1","325","1","0.75","1.25","0.98462536","Warnings"
"310","1","325","1","1","0.5","0.994921962","Warnings"
"310","1","325","1","1","0.75","0.994921187","Warnings"
"310","1","325","1","1","1","0.994921144","Warnings"
"310","1","325","1","1","1.25","0.994921144","Warnings"
"310","1","325","1","1.25","0.5","0.995731092","Warnings"
"310","1","325","1","1.25","0.75","0.995729905","Warnings"
"310","1","325","1","1.25","1","0.995730011","Warnings"
"310","1","325","1","1.25","1.25","0.995729999","Warnings"
"310","1","325","1.5","0.5","0.5","0.950136107","Warnings"
"310","1","325","1.5","0.5","0.75","0.95013192","Warnings"
"310","1","325","1.5","0.5","1","0.950132397","Warnings"
"310","1","325","1.5","0.5","1.25","0.950131542","Warnings"
"310","1","325","1.5","0.75","0.5","0.984648204","Warnings"
"310","1","325","1.5","0.75","0.75","0.984625248","Warnings"
"310","1","325","1.5","0.75","1","0.984624608","Warnings"
"310","1","325","1.5","0.75","1.25","0.984623939","Warnings"
"310","1","325","1.5","1","0.5","0.994921961","Warnings"
"310","1","325","1.5","1","0.75","0.994921188","Warnings"
"310","1","325","1.5","1","1","0.994921146","Warnings"
"310","1","325","1.5","1","1.25","0.994921147","Warnings"
"310","1","325","1.5","1.25","0.5","0.995731092","Warnings"
"310","1","325","1.5","1.25","0.75","0.995729905","Warnings"
"310","1","325","1.5","1.25","1","0.995730011","Warnings"
"310","1","325","1.5","1.25","1.25","0.995729999","Warnings"
"310","1","325","2","0.5","0.5","0.950136104","Warnings"
"310","1","325","2","0.5","0.75","0.95013192","Warnings"
"310","1","325","2","0.5","1","0.950132397","Warnings"
"310","1","325","2","0.5","1.25","0.950131542","Warnings"
"310","1","325","2","0.75","0.5","0.984648204","Warnings"
"310","1","325","2","0.75","0.75","0.984625248","Warnings"
"310","1","325","2","0.75","1","0.984624608","Warnings"
"310","1","325","2","0.75","1.25","0.984623939","Warnings"
