1-3-diaminopropane,C3H10N2,C(CN)CN,Primary,No,2,0,0,0,0,0,99.835317143276,0,28.638256856724,0,-0.0020195762987398,-0.18744286590027,0.022309157983398,0,0,0,-0.004922366058076,-0.08255116840411,0.22368961939924,0,0,0,0.0018337571616538,0,0.0047997438581855,0,74.125,DAPR
1-4-diaminobutane,C4H12N2,C(CCN)CN,Primary,No,2,0,0,0,0,0,118.71895559139,0,28.325325408612,0,-0.0019793140626425,-0.19464934561728,0.023353011363513,0,0,0,-0.0048242338585097,-0.08216316805523,0.22664352515628,0,0,0,0.001865432789641,0,0.0048201761461258,0,88.151,DAB
1-5-diaminopentane,C5H14N2,C(CCN)CCN,Primary,No,2,0,0,0,0,0,139.81999930973,0,28.401067690271,0,-0.0015666202710403,-0.20289669987763,0.023500432804962,0,0,0,-0.0038183645019378,-0.081134425527042,0.2288444094502,0,0,0,0.0019245207874032,0,0.0048392137402942,0,102.178,DAP
1-6-diaminohexane,C6H16N2,C(CCCN)CCN,Primary,No,2,0,0,0,0,0,156.65235622128,0,27.958377778717,0,-0.0013339828934735,-0.20279160361835,0.021009205905503,0,0,0,-0.0032513513458172,-0.07051725039307,0.21831782228884,0,0,0,0.0019008957039846,0,0.0046785256367271,0,116.205,DAH
1-amino-2-propanol,C3H9NO,CC(CN)O,Primary,No,1,0,0,1,0,0,92.586392007767,15.974542299857,12.854421692376,0,-0.015998512820488,-0.11840883590694,0.031535283940553,-0.067714210106044,-0.0019542944906329,0.11488518013496,-0.0044183754711501,-0.043210644607194,0.077051008434398,0,0,0,0.0019267881806744,0.0026592087854871,0.001801642249322,0,75.11,1A2P
2-(2-aminoethoxy)-ethanol,C4H11NO2,C(COCCO)N,Primary,No,1,0,0,1,0,1,115.90941291878,16.146109048623,14.202399975719,6.5814050568818,-0.015384344379776,-0.2566291621245,0.052800166749543,-0.078876848197461,0.0026635918384117,0.10379903989506,-0.0030496611078948,-0.04529340805371,0.11823290873599,0,0.0049922930659847,0.086001103672808,0.002561957142718,0.0026374071885484,0.0025975044832272,0.0013352872621974,105.163,DGA
2-6-diamino-5-hydroxyhexanoic-acid,C6H14N2O3,C(CC(C(=O)O)N)C(CN)O,Primary,No,2,0,0,1,1,0,130.30565889844,25.445831472852,27.612285820864,13.861201807848,-0.029542026933829,-0.36865293896398,0.088808518084382,-0.1486927894084,0.0086186086889966,0.14786215988529,-0.018577676833503,-0.086418722133899,0.20410420894467,0,0.011166348584966,0.15986197954633,0.0047196415001179,0.0045719316789063,0.0046778451802605,0.0021738259964234,162.187,DAHHA
2-amino-2-methyl-1-3-propanediol,C4H11NO2,CC(CO)(CO)N,Primary,No,1,0,0,2,0,0,106.40570472589,27.422935795409,10.991707478703,0,-0.028062323122987,-0.13285711037806,0.058370359791857,-0.15334522279361,-0.0012651484311215,0.14029959003454,0,-0.018795209312493,0.10762511114736,0,0,0,0.0024998307585606,0.0040964430671903,0.0020623102423374,0,105.136,AMPD
2-amino-2-methyl-1-propanol,C4H11NO,CC(C)(CO)N,Primary,No,1,0,0,1,0,0,110.54313512981,13.813645715462,11.899782154729,0,-0.014008170926311,-0.12826936912798,0.033936868572202,-0.073094437505623,-0.0024229306362421,0.074269869065073,-0.00067544972115653,-0.027228223341418,0.10700668558588,0,0,0,0.0018213051479381,0.002056806377382,0.0021650158070395,0,89.136,AMP
3-amino-1-propanol,C3H9NO,C(CN)CO,Primary,No,1,0,0,1,0,0,92.798232444824,16.551123688839,14.381774866337,0,-0.014729226987943,-0.16085991104975,0.036393012166017,-0.070154861222625,-0.0039487119254097,0.12151746852401,-0.0031688951636276,-0.043735824158866,0.11029334660822,0,0,0,0.0019395653220324,0.002796565680069,0.0023800131764817,0,75.11,3A1P
3-aminopropane-1-2-diol,C3H9NO2,C(C(CO)O)N,Primary,No,1,0,0,2,0,0,87.777233826812,29.861016211596,13.514862961591,0,-0.025010141654029,-0.16912663678919,0.059638081133894,-0.12479052093823,-0.0084003127004748,0.20555007152627,-0.0045224407807259,-0.045525506215718,0.08654361243484,0,0,0,0.0026325028519686,0.0048079490871913,0.0019708588401256,0,91.109,3APD
4-(2-aminopropan-2-yl)-1-methylcyclohexanamine,C10H22N2,CC1(CCC(CC1)C(C)(C)N)N,Primary,Yes,2,0,0,0,0,0,199.53110588879,0,20.766613111206,0,0,-0.15730922856714,0.020064159259313,0,0,0,0,-0.057266811755445,0.14975672946686,0,0,0,0.0018364704386313,0,0.0029846805855458,0,170.295,2APMCH
2-aminoethanol,C2H7NO,C(CO)N,Primary,No,1,0,0,1,0,0,72.400286850106,16.505831236893,14.762935913001,0,-0.01557985433731,-0.13742704268444,0.035237637872317,-0.073722080613317,-0.0024261644617311,0.11610523133836,-0.0058348503451504,-0.046118154160665,0.10456747030009,0,0,0,0.0018892572780739,0.0027892214114656,0.0023475322035737,0,61.083,MEA
ethylenediamine,C2H8N2,C(CN)N,Primary,No,2,0,0,0,0,0,79.433246594238,0,28.843519405763,0,-0.0030219288172468,-0.16990547276055,0.020973260405664,0,0,0,-0.0073654260298161,-0.084020757657974,0.21591100547647,0,0,0,0.0017684304097882,0,0.0047134377373368,0,60.098,EDA
